id,token
0773ec8e3327fd5f4b98d1027d98174d,<s> ڈرون حملوں کیخلاف ہم اپنے موقف سے پیچھے نہیں ہٹیں گے ،عمران خان، امریکہ نے نیٹو سپلائی کھولنے بارے کوئی رابطہ نہیں کیا ‘حکمران ڈالر کے پجاری ہیں لیکن خیبرپختوانخواہ میں نیٹو سپلائی اس وقت تک بند رہے گی ،پولیس کا وومن ونگ لاہور کی صدر نیلم اشرف کے صاحبزادے کے معاملے میں پوسٹمارٹم سے قبل واقعے کوخود کشی قرار دینا انتہائی افسوسناک ہے،وزیراعلی پنجاب نوٹس لیں،اعتزازحسن قوم کا ہیرو ہے،پی ٹی آئی انکے خاندان کی کفالت کرے گی ،وزیر اعلی خیبر پختونخواہ کا رویہ مایوس کن ہے،میڈیا سے گفتگو : لاہور ( اُردو پوائنٹ اخبار آن لائن۔13 جنوری ۔2014ء ) پاکستان تحریک انصاف کے چیئرمین عمران خان نے کہا کہ پولیس کا وومن ونگ لاہور کی صدر نیلم اشرف کے صاحبزادے کے معاملے میں پوسٹمارٹم سے قبل واقعے کوخود کشی قرار دینا انتہائی افسوسناک ہے ،وزیراعلی پنجاب واقعہ کا نوٹس لیں اور معاملے کی مکمل تحقیقات کرا ئی جائے ۔ان خیالات کااظہار انہوں نے تحریک انصاف ویمن ونگ لاہور کی صدر نیلم اشر ف کے جواں سال صاحبزادے کے قتل پراظہار تعزیت کے بعد میڈیا سے گفتگو کرتے ہوئے کیا ۔ اس موقع پر عبدالعلیم خان، نعیم الحق، میاں اسلم اقبال، حامد خان،اشتیاق ملک،عون چوہدری، ظہیر عباس کھوکھر، نوشین حامد معراج، حافظ فرحت عباس اور عرفان احمدموجود تھے، عمران خان نے کہا کہ پنجاب پولیس میں میرٹ پر بھرتیاں نہیں ہوتیں اور پولیس کو سیاسی مقاصد کے لئے استعمال کیا جا رہا ہے جس کی وجہ سے پولیس کا میعار گرتا جا رہا ہے اور جرائم کی شرح میں مسلسل اضافہ ہوتا جا رہا ہے۔ ایس ایس پی طارق عزیز نے میڈیا کو فون کرکے بتایا کہ نیلم اشرف کے صاحبزادے نے خود کشی کی ہے حالانکہ پوسٹ مارٹم کے بغیر ہی واقعے کو خودکشی قرار نہیں دیا جا سکتا ۔انہوں نے مقتول کی والدہ کے حوالے سے بتایا کہ جب انکا صاحبزادہ اپنی منگیتر سے ٹیلیفون پر بات کررہا تھا تواسے اس وقت قتل کیا گیا ۔جب وہ منگیتر سے بات کررہاتھا تووہ خود کشی کیسے کر سکتا ہے ۔وزیراعلی پنجاب شہباز شریف واقعہ کا نوٹس لیں اور معاملے کی مکمل تحقیقات کرا کے کرپٹ پولیس اہلکاروں کے خلاف سخت کارروائی کی جائے۔ ‘ امریکہ نے نیٹو سپ </s>
3f6d54ec54d77c7798b43a28df0f59bd,<s> پاکستان ون ڈے رینکنگ میں آٹھویں نمبر پر برقرار پاکستان کی ویسٹ انڈیز کے خلاف ون ڈے سیریز میںدو ایک کی فتح کے بعد پاکستان کے ایک پوائنٹ میں اضافہ ضرور ہوا لیکن رینکنگ میں آٹھویں پوزیشن برقرار ہے ۔پاکستان کے پوائنٹس 90 ہو گئے جبکہ ویسٹ انڈیز 83 پوائنٹس کے ساتھ نویں نمبر پر ہے۔ جنوبی افریقا کی پہلی پوزیشن ہے، آسٹریلیا دوسرےاور نیوزی لینڈ تیسرے نمبر پر ہے جبکہ بھارت کا چوتھا نمبر ہے،انگلینڈپانچویں، سری لنکاچھٹی اوربنگلادیش ساتویں پوزیشن پر ہے۔ ورلڈ کپ 2019 میں آٹھ ٹیمیں براہ راست کوالیفائی کریں گی جس کا فیصلہ30 ستمبر کو ہوگا، باقی ٹیموں کو کوالیفائنگ راؤنڈ کھیلنا پڑے گا۔ بیٹسمینوں کی رینکنگ میں پاکستان کے بابر اعظم ہی ٹاپ ٹین میں شامل ہیں جو ایک درجہ ترقی کے ساتھ نویں سے آٹھویں پوزیشن پر پہنچ گئے ۔ جنوبی افریقا کے اے بی ڈی ولئیرز پہلے ،آسٹریلیا کے ڈیوڈ وارنر دوسرے اور بھارت کے ویراٹ کوہلی تیسرے نمبر پر ہیں۔بولرز میں عمران طاہر کی پہلی پوزیشن ہے۔ </s>
fc4a4dedb3c1a269acb9755a3f5490b8,<s> درجہ چہارم کے ملازمین کی تنخواہوں میں مہنگائی کے تناسب سے اضافہ کیا جائے ، آل پاکستان درجہ چہارم ملازمین ایسوسی ایشن،پولیس کانسٹیبل اور خاصہ دار کو سکیل 1 سے 5 تک جبکہ کلرکس کو سکیل 5 سے 14 تک اپ گریڈ کیا جائے ، عہدیداران کی پریس کانفرنساسلام آباد ( اُردو پوائنٹ اخبار تازہ ترین۔4جون۔2007ء ) آل پاکستان درجہ چہارم ملازمین ایسوسی ایشن کے عہدیداران نے حکومت سے مطالبہ کرتے ہوئے کہا ہے کہ درجہ چہارم کے ملازمین کی تنخواہوں میں مہنگائی کے تناسب سے اضافہ کیا جائے ۔ ملازمین کے اگلے سکیل میں جانے کیلئے ٹائم سکیل کا اپ گریڈیشن آف پے سکیل دینے کا اعلامیہ جاری کرتے ہوئے پولیس کانسٹیبل اور خاصہ دار کو سکیل 1 سے 5 تک جبکہ کلرکس کو سکیل 5 سے 15 تک اپ گریڈ کیا جائے تاہم حکومت درجہ چہارم کے ملازمین کو بھی سکیل 5 دے کر امتیازی سلوک کا خاتمہ کرے۔ اس موقع پر خطاب کرتے ہوئے آل پاکستان درجہ چہارم ملازمین ایسوسی ایشن کے مرکزی صدر چوہدری محمد صادق غالب نے کہاکہ اگر اس مرتبہ بھی حکومت نے ملازمین کو بجٹ میں مایوس کیا تو 25جون کو ملک بھر کے تمام عہدیداروں کے ہنگامی اجلاس میں ملازمین کے نمائندے اس بات کا فیصلہ کرنے پر مجبور ہوں گے کہ ملک بھر کے تمام محکمہ جات کے درجہ چہارم ملازمین کو اسلام آباد کی سڑکوں پر مطالبات کی منظوری تک بھرپور احتجاجی تحریک چلائیں گے اور یوں غیر معینہ مدت تک کام چھوڑ ہڑتال کا فیصلہ کرتے ہوئے تمام اداروں کی تالہ بندی کی جائے گی۔ جس میں درجہ چہارم ملازمین اپنی قوت کا مظاہرہ کرنے پر مجبور ہوں گے۔ جس میں تمام تر حالات کی ذمہ داری صرف حکومت پر عائد ہو گی۔ پریس کانفرنس سے جنرل سیکرٹری عبدالستار ہوتی و ایسوسی ایشن کے چیئرمین ہارون خان جدون نے بھی خطاب کیا۔ عبدالستار ہوتی نے کہاکہ درجہ چہارم کے ملازمین کو میڈیکل الاؤنس اور کنونس الاؤنس میں کم از کم 1000 روپے اضافہ کا اعلامیہ جاری کرے۔ فکس تنخواہ پالیسی کا خاتمہ کیا جائے اور صرف 4 ہزار روپے ماہوار تنخواہ پر کام کرنے والے ملازمین کو بہتر مستقبل فراہم کرنے کیلئے وفاق، صوبے کو خصوصی فنڈز فراہم کرے۔ ہاؤسنگ ڈیپارٹمنٹ اور وزیر اعظم کے رہائشی سکیم کے تحت تمام بے گھر افراد کو دوران ملازمت مستقل رہائشی مکان دینے کا اعلامیہ جاری کیا جائے۔ انہوں نے کہا کہ آل پاکستان درجہ چہ </s>
